encounter,streakline,start_longitude_deg,end_longitude_deg
21,11,10.412861356852943,74.14756151661712
21,12,4.376252803318778,67.9715269026962
21,13,358.3396996976425,61.128497963543964
22,1,253.04963776670218,303.8806983305966
22,2,247.0206546314812,299.8904954836306
22,3,240.99173981866306,297.6991912765972
22,4,234.96289428079683,296.0054592290878
22,5,228.93411881150337,293.7188425109575
22,6,225.71791405107479,273.6849968003282
22,7,216.87678049452074,270.89057644501327
22,8,213.66071849979835,264.5273544415022
22,9,207.63222829633582,255.64214250233232
22,10,201.60380999222264,248.8148236087774
22,11,195.57546358199863,238.69787635586638
22,12,189.5471889518377,233.79910448899102
22,13,183.51898588439656,224.79203107505674
22,14,177.4908540620862,223.15424592415513
22,15,171.4627930691271,219.17000647626259
22,16,165.4348023925595,213.6880335220726
22,17,156.59438142132683,211.40945876949718
22,18,150.56652944591372,208.9246616313614
22,19,144.53874565558243,206.84783827643267
22,20,138.51102913607872,205.17167528908513
22,21,129.67087886649801,203.13337360559186
22,22,123.64329371684556,200.50602273953635
22,23,117.61577244584822,195.45058703548355
22,24,114.40081369914662,176.73251980571808
22,25,105.56091601035956,174.85108546884743
22,26,99.53357780265543,173.65731546490963
22,27,93.5062973928874,172.63649140015661
22,28,90.29157299858156,170.7643918489534
22,29,87.0769027473491,168.7706191540254
22,30,81.04978468871712,160.9864320857575
22,31,72.21021681013059,152.37230068482938
22,32,63.370697054110565,142.19991564604902
23,1,291.6235954390962,0.19832791371226222
23,2,285.5940190476325,357.07210409829355
23,3,279.5643129973697,354.0172301203165
23,4,273.53447659942697,337.5532004425178
23,5,83.323089177589,136.76254269089165
23,6,77.28893221503415,130.3048580604474
23,7,68.44214040060484,127.89864418167193
23,8,62.40771269585849,126.64667173550019
23,9,56.37314791683082,125.20858162209763
23,10,50.33844471878939,119.47277473503786
23,11,49.92860158189734,82.27998678862933
23,12,43.893616798207404,75.61508116188736
23,13,35.045988464174116,72.40052644878058
23,14,29.010714477007014,65.83045549660096
23,15,22.975292539122222,62.21883319347162
23,16,16.939720170905957,59.36213672336059
23,17,10.90399473281019,58.78304686678504
23,18,4.868113456070091,56.87905594087393
23,19,356.0195734828965,54.88758880300255
